,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
1634,Liga Profesional ,14/05/2016,Defensa y Justicia,Racing Club,2.0,1.0,H,2.29,3.22,3.61
1635,Liga Profesional ,14/05/2016,Colon Santa FE,San Lorenzo,0.0,2.0,A,4.72,3.56,1.88
1636,Liga Profesional ,14/05/2016,Godoy Cruz,Belgrano,1.0,0.0,H,1.56,4.16,6.93
1637,Liga Profesional ,14/05/2016,River Plate,Gimnasia L.P.,1.0,0.0,H,1.88,3.42,4.96
1638,Liga Profesional ,15/05/2016,Independiente,Arsenal Sarandi,2.0,0.0,H,1.71,3.63,5.98
1639,Liga Profesional ,15/05/2016,Argentinos Jrs,Lanus,1.0,1.0,D,2.63,3.3,2.93
1640,Liga Profesional ,15/05/2016,Sarmiento Junin,Tigre,0.0,1.0,A,2.11,3.26,4.08
1641,Liga Profesional ,15/05/2016,Temperley,Newells Old Boys,2.0,0.0,H,2.18,3.22,3.91
1642,Liga Profesional ,15/05/2016,Aldosivi,Atl. Rafaela,2.0,1.0,H,1.74,3.88,5.2
1643,Liga Profesional ,15/05/2016,Rosario Central,Quilmes,1.0,1.0,D,2.15,3.39,3.79
1644,Liga Profesional ,16/05/2016,Estudiantes L.P.,Boca Juniors,3.0,1.0,H,1.56,4.07,7.24
1645,Liga Profesional ,16/05/2016,Patronato,Olimpo Bahia Blanca,1.0,0.0,H,1.98,3.31,4.71
1646,Liga Profesional ,17/05/2016,Banfield,Velez Sarsfield,0.0,0.0,D,2.19,3.35,3.51
1647,Liga Profesional ,21/05/2016,Arsenal Sarandi,River Plate,2.0,1.0,H,3.55,3.32,2.26
1648,Liga Profesional ,21/05/2016,Tigre,Aldosivi,2.0,0.0,H,1.82,3.66,4.94
1649,Liga Profesional ,21/05/2016,Atl. Rafaela,Argentinos Jrs,0.0,2.0,A,3.25,3.31,2.41
1650,Liga Profesional ,21/05/2016,Olimpo Bahia Blanca,Sarmiento Junin,0.0,1.0,A,3.34,2.8,2.72
